2 => 4 1.0
4 => 0 1.0
0 => -7 0.5
0 => -4 0.5
-3 => -1 0.5
-3 => -8 0.5
-1 => -4 1.0
-4 => -7 0.3333333333333333
-4 => -9 0.3333333333333333
-4 => -3 0.3333333333333333
-7 => -10 0.6666666666666666
-7 => -13 0.16666666666666666
-7 => -5 0.16666666666666666
-10 => -7 0.16666666666666666
-10 => -16 0.16666666666666666
-10 => -13 0.3333333333333333
-10 => -5 0.3333333333333333
-10 -7 => -13 1.0
-13 => -10 0.14285714285714285
-13 => -17 0.14285714285714285
-13 => -16 0.14285714285714285
-13 => -12 0.2857142857142857
-13 => -15 0.2857142857142857
-13 -10 => -16 1.0
-10 -13 => -15 0.5
-10 -13 => -17 0.5
-14 => -13 0.2
-14 => -17 0.4
-14 => -16 0.4
-14 -13 => -16 1.0
-7 -13 => -10 1.0
-16 => -22 0.08333333333333333
-16 => -14 0.08333333333333333
-16 => -17 0.4166666666666667
-16 => -13 0.08333333333333333
-16 => -21 0.16666666666666666
-16 => -9 0.08333333333333333
-16 => -4 0.08333333333333333
-17 => -24 0.15
-17 => -12 0.25
-17 => -19 0.15
-17 => -16 0.2
-17 => -14 0.1
-17 => -20 0.05
-17 => -15 0.05
-17 => -29 0.05
-17 -16 => -21 0.5
-17 -16 => -17 0.5
-14 -16 => -17 0.5
-14 -16 => -13 0.5
-10 -16 => -22 1.0
-19 => -17 0.3333333333333333
-19 => -16 0.2222222222222222
-19 => -31 0.2222222222222222
-19 => -18 0.1111111111111111
-19 => -22 0.1111111111111111
-19 -16 => -14 0.5
-19 -16 => -9 0.5
-21 => -17 0.3333333333333333
-21 => -16 0.6666666666666666
-21 -16 => -17 0.5
-21 -16 => -4 0.5
-22 => -19 0.25
-22 => -20 0.25
-22 => -17 0.25
-22 => -25 0.25
-24 => -7 0.1111111111111111
-24 => -12 0.3333333333333333
-24 => -22 0.1111111111111111
-24 => -20 0.2222222222222222
-24 => -19 0.1111111111111111
-24 => -17 0.1111111111111111
-24 -19 => -31 1.0
-31 => -19 0.5
-31 => -27 0.5
-31 -19 => -18 1.0
-20 => -19 0.5
-20 => -24 0.16666666666666666
-20 => -22 0.16666666666666666
-20 => -17 0.16666666666666666
-20 -19 => -16 0.6666666666666666
-20 -19 => -31 0.3333333333333333
-17 -19 => -17 0.6666666666666666
-17 -19 => -22 0.3333333333333333
-14 -17 => -14 0.5
-14 -17 => -16 0.5
-12 => -17 0.18181818181818182
-12 => -20 0.09090909090909091
-12 => -21 0.09090909090909091
-12 => -14 0.09090909090909091
-12 => -10 0.09090909090909091
-12 => -24 0.2727272727272727
-12 => -13 0.09090909090909091
-12 => 0 0.09090909090909091
-12 -17 => -12 0.5
-12 -17 => -15 0.5
-22 -17 => -16 1.0
-15 => -14 0.25
-15 => -17 0.5
-15 => -13 0.25
-15 -17 => -24 0.5
-15 -17 => -19 0.5
-16 -17 => -16 0.2
-16 -17 => -19 0.4
-16 -17 => -20 0.2
-16 -17 => -12 0.2
-19 -17 => -29 0.3333333333333333
-19 -17 => -16 0.3333333333333333
-19 -17 => -24 0.3333333333333333
-24 -17 => -24 1.0
-21 -17 => -14 1.0
-27 => -24 1.0
-27 -24 => -17 1.0
-12 -24 => -12 0.6666666666666666
-12 -24 => -22 0.3333333333333333
-19 -17 -24 => -7 1.0
-20 -24 => -20 1.0
-25 => -24 1.0
-25 -24 => -19 1.0
-13 -12 => -24 0.5
-13 -12 => -14 0.5
-9 => -11 0.5
-9 => -12 0.5
-9 -12 => -10 1.0
-29 => -12 1.0
-29 -12 => 0 1.0
-16 -17 -12 => -21 1.0
-12 -17 -12 => -20 1.0
-20 -17 => -12 1.0
-20 -17 -12 => -13 1.0
-22 -20 => -24 1.0
-18 => -20 1.0
-18 -20 => -22 1.0
-16 -14 => -13 1.0
-11 => -15 1.0
-5 => -7 0.6666666666666666
-5 => -17 0.3333333333333333
-8 => -7 1.0
